y,theoretical,y,Std 2nd,Std 6th,Imp 3rd,Imp 6th
28.5,2.19E-04,27.72,2.66E-07,2.66E-07,0.00021617,0.00021617
29.5,0.000211607,28.71,2.56E-07,2.56E-07,0.00020842,0.00020842
30.5,0.000203571,29.7,2.46E-07,2.46E-07,0.00020079,0.00020079
31.5,1.95E-04,30.69,2.37E-07,2.37E-07,0.00019301,0.00019301
32.5,1.87E-04,31.68,2.28E-07,2.28E-07,0.00018504,0.00018504
33.5,0.000177857,32.67,2.18E-07,2.18E-07,0.00017686,0.00017686
34.5,0.00016875,33.66,2.08E-07,2.08E-07,0.00016848,0.00016848
35.5,1.59E-04,34.65,1.97E-07,1.97E-07,0.0001599,0.0001599
36.5,1.50E-04,35.64,1.86E-07,1.86E-07,0.0001511,0.0001511
37.5,0.000139821,36.63,1.75E-07,1.75E-07,0.00014209,0.00014209
38.5,0.000129643,37.62,1.64E-07,1.64E-07,0.00013286,0.00013286
39.5,1.19E-04,38.61,1.52E-07,1.52E-07,0.00012341,0.00012341
40.5,1.08E-04,39.6,1.40E-07,1.40E-07,0.00011375,0.00011375
41.5,0.0000975,40.59,1.28E-07,1.28E-07,0.00010385,0.00010385
42.5,8.63E-05,41.58,1.16E-07,1.16E-07,0.000093734,0.000093734
43.5,7.47E-05,42.57,1.03E-07,1.03E-07,0.000083382,0.000083382
44.5,6.29E-05,43.56,8.97E-08,8.97E-08,0.000072795,0.000072795
45.5,5.09E-05,44.55,7.63E-08,7.63E-08,0.00006197,0.00006197
46.5,3.85714E-05,45.54,6.26E-08,6.26E-08,0.000050901,0.000050901
47.5,2.60E-05,46.53,4.85E-08,4.85E-08,0.000039587,0.000039587
48.5,1.31E-05,47.52,3.42E-08,3.42E-08,0.000028021,0.000028021
49.5,0,48.51,1.96E-08,1.96E-08,0.000016201,0.000016201
,,49.5,4.69E-09,4.69E-09,4.12E-06,4.12E-06
